# Time-averaged data for fix velpos
# TimeStep v_vcmx v_vcmy v_vcmz v_xcmx v_xcmy v_xcmz
2002360 -0.00502633 -0.00241095 0.0022398 -8.41277 12.898 -71.0193
2002370 -0.00432278 -0.00217477 0.00117057 -8.45935 12.875 -71.0022
2002380 -0.00396847 -0.00163933 -0.000153494 -8.50064 12.8554 -70.9967
2002390 -0.00316293 -0.000253858 -0.00199499 -8.5372 12.8452 -71.0072
2002400 -0.00149934 0.00132032 -0.00365388 -8.56081 12.8509 -71.0359
2002410 4.87225e-05 0.00204704 -0.00432983 -8.56773 12.8689 -71.077
2002420 0.00124919 0.00150184 -0.00385241 -8.56099 12.8872 -71.1183
2002430 0.00190027 0.00147868 -0.00412695 -8.54447 12.9008 -71.157
2002440 0.00166897 0.00283929 -0.0051194 -8.52601 12.9217 -71.2033
2002450 0.00112374 0.00393097 -0.00529843 -8.51228 12.9565 -71.2567
2002460 0.00138111 0.00412374 -0.0037689 -8.50062 12.9973 -71.3031
2002470 0.00229873 0.00320586 -0.00255196 -8.48257 13.0354 -71.3332
2002480 0.00426509 0.000979151 -0.00284731 -8.45117 13.0568 -71.3597
2002490 0.00663542 -0.00122691 -0.00247544 -8.3955 13.0551 -71.3877
2002500 0.00702475 -0.00231945 -0.00100708 -8.3258 13.036 -71.4053
2002510 0.0071401 -0.00207986 -0.000414587 -8.25552 13.0132 -71.4108
2002520 0.00757372 -0.00100862 -0.00185404 -8.18188 12.9972 -71.4206
2002530 0.00770295 8.90081e-05 -0.00412014 -8.10502 12.9933 -71.4508
2002540 0.00660912 -0.000236105 -0.00472002 -8.03182 12.9937 -71.4974
2002550 0.00389318 -0.000665804 -0.00313202 -7.97865 12.9887 -71.5373
2002560 0.00168165 -0.000858532 -0.00228112 -7.95204 12.9811 -71.5628
2002570 0.000661954 -0.000754521 -0.00325553 -7.94086 12.9725 -71.5892
2002580 -3.65839e-05 -5.45125e-05 -0.00521515 -7.9379 12.968 -71.6312
2002590 -0.000547263 0.000761683 -0.00691478 -7.94095 12.9718 -71.6926
2002600 -0.000875581 0.000840277 -0.0076224 -7.94827 12.9809 -71.7661
2002610 -0.00101805 -0.000764083 -0.00746238 -7.95778 12.9829 -71.8422
2002620 -0.0012831 -0.00357621 -0.00679953 -7.96914 12.9613 -71.9136
2002630 -0.000957162 -0.00520889 -0.00598446 -7.98171 12.9156 -71.9779
2002640 0.00103803 -0.00529931 -0.00470913 -7.98211 12.8625 -72.0314
2002650 0.00260609 -0.00564322 -0.00430438 -7.96275 12.8086 -72.0754
2002660 0.00274672 -0.00671319 -0.00411077 -7.93463 12.7469 -72.1183
2002670 0.00131653 -0.00716774 -0.00258676 -7.91325 12.6766 -72.1526
2002680 -0.000746733 -0.00611637 -0.00108475 -7.91019 12.6083 -72.1705
